#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-E	CIII1247	3372.7783	1247.38	PHOTOSPHERE	0.0	0.1734	-0.8607	0.3934	-1.6301e-29	2.7656e-18	-3.88e-18	3.1327e-18	-1.2386	0.4448	1.0	-0.0	3373.9537	1.74304824113e+11	0.5535	1.7048	139736747.513	0.0	5.89420017356e-12
rcs0327-E	SiIII1294	3500.2938	1294.54	PHOTOSPHERE	0.1704	0.3173	0.2048	0.2284	-3.0244e-18	5.6307e-18	1.3429e-18	6.5533e-18	0.66642	0.2729	1.0	-0.1237	3499.051	2.102	1.4864	1.7029	0.0016	1.87321363137	0.537126822598
rcs0327-E	CIII1296	3505.1337	1296.33	PHOTOSPHERE	0.2687	0.2291	0.4823	0.2292	-4.7813e-18	4.0766e-18	1.3429e-18	6.5533e-18	0.93451	0.2659	1.0	-0.4147	3505.0133	0.4399	0.699	1.7038	0.0003	3.03159082362	1.1728646421
rcs0327-E	SiIII1296	3506.2423	1296.74	PHOTOSPHERE	0.2367	0.1781	0.4975	0.2329	-4.2163e-18	3.1724e-18	1.3429e-18	6.5533e-18	0.8483	0.2625	1.0	-0.5641	3507.433	0.2566	0.4527	1.7048	0.0002	2.70514285714	1.32905686546
rcs0327-E	SiIII1298	3512.1638	1298.93	PHOTOSPHERE	0.5999	0.3235	0.7885	0.2343	-1.0709e-17	5.7748e-18	1.3429e-18	6.5533e-18	1.839	0.2662	1.0	-0.4339	3512.9675	0.6032	1.4915	1.7045	0.0005	6.76070623591	1.85443651728
rcs0327-E	CII1323	3579.7611	1323.93	PHOTOSPHERE	0.121	0.2015	0.2577	0.1681	-2.1702e-18	3.6129e-18	-1.4868e-18	7.9825e-18	0.08561	0.1889	1.0	-0.2825	3579.8447	0.8001	0.4622	1.704	0.0006	1.92165166755	0.600680893465
rcs0327-E	NIII1324	3580.8967	1324.35	PHOTOSPHERE	0.0865	0.1969	0.3233	0.1671	-1.5506e-18	3.5321e-18	-1.4868e-18	7.9825e-18	0.0079919	0.1853	1.0	-0.2017	3581.108	1.1194	0.4623	1.704	0.0008	1.40043173233	0.439002293253
rcs0327-E	OIV1341	3627.647	1341.64	PHOTOSPHERE	0.0	0.1099	-0.1231	0.1507	-5.2008e-29	1.9715e-18	-4.143e-18	6.0908e-18	-0.6802	0.1698	1.0	-0.0	3628.935	45818157168.4	1.5405	1.7048	34150858.0308	0.0	2.63799137712e-11
rcs0327-E	SiIII1417	3832.0611	1417.24	PHOTOSPHERE	0.0612	0.0936	0.0796	0.1173	-1.0857e-18	1.6614e-18	6.9822e-20	3.4493e-18	0.335	0.1372	1.0	-0.1334	3831.7469	0.5695	0.4948	1.7037	0.0004	1.33819241983	0.65348501264
rcs0327-E	SV1501	4060.5938	1501.76	PHOTOSPHERE	0.1781	0.088	-0.0865	0.0922	-3.0746e-18	1.5202e-18	3.2852e-18	4.0231e-18	1.5808	0.104	1.0	-0.2262	4060.4703	0.3156	0.8492	1.7038	0.0002	5.1375	2.02249703986
